index,ID,Date,User,Text,Language,Category,MentionedUser,Hashtag,Translation,Subjectivity,Polarity,Analysis
17463,1589848332784250885,2022-11-08 05:12:35+00:00,https://twitter.com/titi_samu,@user @user rwanda air up to all of us,en,rwandair,"[User(username='FlyRwandAir', id=112440529, displayname='RwandAir', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='HeathrowAirport', id=20823928, displayname='Heathrow Airport', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user rwanda air up to all of us,0.0,0.0,Neutral
10796,1496157593282228227,2022-02-22 16:19:02+00:00,https://twitter.com/Omar93445966,@user mwiriwe neza mwadufasha ko nguze umuriro wa bakampa kw umuriro waba warahenze bigeze aha cg ni error irimo ,tl,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,"@user, please help us to buy a fire extinguisher.",0.0,0.0,Neutral
14235,1550046546024185858,2022-07-21 09:14:29+00:00,https://twitter.com/celestin_edison,@user @user @user @user @user @user @user @user @user ni mu kinunga nubu iminsi irashize ku manywa na nijoro ntamazi muduha @user @user,in,wasac,"[User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RIB_Rw', id=986428261986177024, displayname='Rwanda Investigation Bureau', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RwandaInfra', id=515653771, displayname='Ministry of Infrastructure | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Gasabo_District', id=2166715987, displayname='Gasabo District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='CityofKigali', id=299705662, displayname='City of Kigali', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RwandaLocalGov', id=287538694, displayname='Ministry of Local Government | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Rwandapolice', id=262573891, displayname='Rwanda National Police', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Rwanda_Housing', id=1005775898, displayname='Rwanda Housing Authority (RHA)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='nderasector', id=2162007527, displayname='Ndera Sector', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Rwandapolice', id=262573891, displayname='Rwanda National Police', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user @user @user @user @user @user @user @user is in trouble now days and nights without water give us @user @user,0.2,-0.2,Negative
8330,1529836081490821121,2022-05-26 14:45:19+00:00,https://twitter.com/92021db97c2f41c,@user is this an automated response it is always the same,en,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user is this an automated response it is always the same,0.125,0.0,Neutral
9210,1518126785136844801,2022-04-24 07:16:45+00:00,https://twitter.com/MbangutsePaul,@user none ko mutawugarura ko saa hoo zageze ,pl,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user now that you don't bring it back that saa hoo has arrived,0.0,0.0,Neutral
8493,1527327030814994432,2022-05-19 16:35:15+00:00,https://twitter.com/KiraboJane13,@user akarere ka rwamagana,tl,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user region of the hundred,0.0,0.0,Neutral
15154,1526799359668588544,2022-05-18 05:38:28+00:00,https://twitter.com/galiawills30,"@user @user @user @user @user @user
kagugu in kabubuhunde ii village i have shared my contacts in your inbox please get in touch ",en,wasac,"[User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GiseleUmuhumuza', id=956074588508737536, displayname='Gisele Umuhumuza', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SectorKinyinya', id=1355469992318431234, displayname='Kinyinya Sector', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='GiseleUmuhumuza', id=956074588508737536, displayname='Gisele Umuhumuza', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SectorKinyinya', id=1355469992318431234, displayname='Kinyinya Sector', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,"@user @user @user @user @user @user
kagugu in kabubuhunde ii village i have shared my contacts in your inbox please get in touch",0.0,0.0,Neutral
7291,1547917224463151105,2022-07-15 12:13:19+00:00,https://twitter.com/HarerimanaDida4,@user @user @user kandi ndeba afite cash power yaba yarayibonye ate igashyirwa muri system ite kugira ngo abone uko agura umuriro ,in,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RutsiroDistrict', id=301985969, displayname='Rutsiro District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RIB_Rw', id=986428261986177024, displayname='Rwanda Investigation Bureau', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user @user and I wonder if he has cash power.,0.0,0.0,Neutral
16973,1600939522383966208,2022-12-08 19:45:00+00:00,https://twitter.com/EriyaByiringiro,@user baggage detained at uganda airport flight delayed this is realy terrible something must be done ,en,rwandair,"[User(username='FlyRwandAir', id=112440529, displayname='RwandAir', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user baggage detained at uganda airport flight delayed this is realy terrible something must be done,1.0,-1.0,Negative
5878,1571763941080190976,2022-09-19 07:31:40+00:00,https://twitter.com/Rooonaldodo,@user @user @user kg kibagabaga,in,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RDBrwanda', id=266423380, displayname='Rwanda Development Board', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Rwandapolice', id=262573891, displayname='Rwanda National Police', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user @user kg what are they doing?,0.0,0.0,Neutral
15632,1513501270211977227,2022-04-11 12:56:36+00:00,https://twitter.com/Hopehertage,@user mukarere ka ruhango kuzuza ibyo umuntu asabwa nkumu client akamara amezi arenga abiri nta compteur biratudindiza cyane mugihe amafaranga yakabaye afite ibindi arigukora ,in,wasac,"[User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user in the area of ​​Ruhango to meet the requirements of a client who has been without a computer for more than two months is very slow for us when the money is already there and they are doing it,0.51,0.054999999999999966,Positive
16346,1630898309949800451,2023-03-01 11:50:32+00:00,https://twitter.com/YvesNyedetse,@user @user i often fly with rwandair but when you have times delayed flies meaning you spend all nite and day at aeroports without any compensation or consideration one delay of h in jburg and more than hours at kigali airport you have to reconsider what customer service means ,en,rwandair,"[User(username='FlyRwandAir', id=112440529, displayname='RwandAir', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='YvonneMakolo', id=498825151, displayname='Yvonne Manzi Makolo', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user i often fly with rwandair but when you have times delayed flies meaning you spend all nite and day at aeroports without any compensation or consideration one delay of h in jburg and more than hours at kigali airport you have to reconsider what customer service means,0.7,0.65,Positive
10890,1494766531686944784,2022-02-18 20:11:27+00:00,https://twitter.com/SabineMugisha,@user ahaaa sad but relieved face sad but relieved face ,und,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user ahaaa sad but relieved face sad but relieved face,1.0,-0.5,Negative
310,1488276533617725442,2022-01-31 22:22:31+00:00,https://twitter.com/BaristaDamour,@user @user @user congratulations clapping hands ,en,mininifra,"[User(username='Eng_Patricie', id=237204810, displayname='Patricie Uwase', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RwandaInfra', id=515653771, displayname='Ministry of Infrastructure | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PaulKagame', id=37601149, displayname='Paul Kagame', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user @user congratulations clapping hands,0.0,0.0,Neutral
17197,1597299347019812864,2022-11-28 18:40:15+00:00,https://twitter.com/iwacu_amahoro,@user ,qme,rwandair,"[User(username='FlyRwandAir', id=112440529, displayname='RwandAir', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user,0.0,0.0,Neutral
3971,1600527581140369410,2022-12-07 16:28:06+00:00,https://twitter.com/Didace_Ndamira,@user igikondo kigarama,eu,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user fat fist,0.0,0.0,Neutral
12388,1613128613754281984,2023-01-11 11:00:06+00:00,https://twitter.com/NPascal19,@user mwiriwe neza ,in,wasac,"[User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user you are welcome,0.9,0.8,Positive
559,1584493276954259456,2022-10-24 10:33:30+00:00,https://twitter.com/DanKatabarwa,@user @user @user @user @user honored,en,rac,"[User(username='RwandaAirports', id=984349801994178560, displayname='Rwanda Airports (RAC)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='habonima', id=1134136104, displayname='Charles Habonimana CH', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ACIWorld', id=104195730, displayname='ACI World', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='EGacinya25', id=1576979108550123522, displayname='Emmanuel Gacinya', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ACI_Africa', id=2825713769, displayname='ACI Africa - The Voice of African Airports', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user @user @user @user honored,0.0,0.0,Neutral
13170,1584896563054137344,2022-10-25 13:16:01+00:00,https://twitter.com/eddy_ntamvutsa,@user please mufashe ababantu tuyaux yamenetse byatangiye ari make none yabaye menshi ari gusenya rwezamenyo hafi yisoko inyamirambo ,in,wasac,"[User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user please help people the broken pipes started small and now it has become more and more destroying teeth near the market and dead bodies,0.37142857142857144,0.007142857142857137,Positive
14348,1547102507897425921,2022-07-13 06:15:56+00:00,https://twitter.com/_Mutangampundu_,@user @user @user mwakoze cyane @user ku bwo kudutabara byihuse amazi yaraye agarutse mukomeze muduhe service nziza natwe tube abafatabuguzi beza ,in,wasac,"[User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BugeseraDistr', id=267644430, displayname='Bugesera District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='wasac_rwanda', id=2797437306, displayname='Water and Sanitation Corporation Ltd | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user @user thank you so much @user for helping us so quickly the water came back last night keep up the good service and be a good customer,0.3277777777777778,0.32222222222222224,Positive
1104,1512065279634731014,2022-04-07 13:50:30+00:00,https://twitter.com/DidaceNiyifasha,@user aha ni rwamushumba hagati ya ruyenzi na bishenyi umuhanda wagize ikibazo rtda iherutse gutanga iminsi yo kuba hakozwe imaze kurenga aha hantu hakwiye kongerwa izindi mbaraga abajya mu magepfo tukabona inzira @user @user @user @user ,in,rtda,"[User(username='RTDARwanda', id=1407755102, displayname='Rwanda Transport Development Agency (RTDA)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='PrimatureRwanda', id=440647714, displayname='Office of the PM | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RwandaInfra', id=515653771, displayname='Ministry of Infrastructure | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RTDARwanda', id=1407755102, displayname='Rwanda Transport Development Agency (RTDA)', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RwandaSouth', id=350940221, displayname='Southern Province | Rwanda', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,"@user here is the road between Ruyenzi and Bishenyi, the road that had a problem, rtda has recently given the number of days that it has been done. After passing this place, more power should be added to those who go to Magepfo and find the way @user @user @user @user",0.375,0.25,Positive
11461,1484422986123862017,2022-01-21 07:09:53+00:00,https://twitter.com/ndumigwaga,@user waje murakoze ,ht,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user came thanks,0.2,0.2,Positive
9012,1520004355805564928,2022-04-29 11:37:33+00:00,https://twitter.com/EdwinMusoni,@user noted,en,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user noted,0.0,0.0,Neutral
4765,1587490046059347980,2022-11-01 17:01:35+00:00,https://twitter.com/YungurubwengeS,@user iyi numero uzi inshuro nyihamagaye ninyinshi kdi ntagisubizo baduha ahubwo muzatubwire niba ntacyo mwabikoraho tuziyakire niba aricyo cyerekezo turi kujyamo twakwiyakira,tl,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user this number you know how many times I have called and they are not giving us an answer but please tell us if you are not going to do anything we will accept it if that is the direction we are going we will accept it,0.5,0.5,Positive
2098,1625940822511259658,2023-02-15 19:31:15+00:00,https://twitter.com/hahirwabasenga2,@user @user @user kotwabuz umuriro amasaha ,in,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Nyarugenge', id=347090087, displayname='Nyarugenge District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Kamonyi', id=303631108, displayname='Kamonyi District', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user @user @user kotwabuz fire hours,0.0,0.0,Neutral
10215,1503976878889123845,2022-03-16 06:10:05+00:00,https://twitter.com/FalagarOnly,@user power is off in rukiri planned maintenance or ,en,reg,"[User(username='reg_rwanda', id=478609910, displayname='Rwanda Energy Group', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,@user power is off in rukiri planned maintenance or,0.0,0.0,Neutral
